#{"t_start": 1768147463.058134, "env_id": "None"}
r,l,t
-2.00335,2,290.808845
-2.0525,11,549.032493
-2.0231,8,744.523303
-2.00345,3,818.463669
-2.0097,5,924.205279
-2.0178,5,1028.35685
-2.0069,4,1127.103194
-2.00915,5,1257.860128
-2.01235,6,1403.082416
-0.29175,467,8830.618601
-0.2838,459,16101.837939
-0.26955,441,25327.362982
-0.27715,442,32369.520494
-0.27385,448,41693.108955
-0.26675,446,48937.650828
-0.2719,450,56118.021681
-0.2784,455,63363.232011
-0.2813,445,72603.782745
-0.29475,474,80152.853786
-0.2712,442,89340.696493
-0.28825,474,96924.407312
-0.29245,480,106717.889201
-0.29705,471,114207.021745
-0.2722,448,123486.015689
-0.28115,451,130763.410479
-0.27525,448,137970.471339
-0.26835,456,147498.535131
-0.3056,472,155113.729629
-0.2793,469,164763.657817
-0.3098,486,172472.161269
-0.28725,457,181936.096215
