#{"t_start": 1768147463.0521722, "env_id": "None"}
r,l,t
-1.99586,3,310.957237
-2.00385,2,369.397721
-2.0073,3,434.511206
-2.00365,2,478.371529
-2.017,5,588.49124
-2.00385,2,639.870475
-2.00325,3,706.467468
-2.0053,3,786.037659
-2.0186,7,937.385294
-2.00185,2,976.143417
-2.01215,5,1084.830951
-2.0065,3,1167.506624
-2.00535,4,1270.722274
-2.013,5,1376.578338
-2.00445,2,1434.147582
-2.0118,6,1541.146664
-0.27715,440,8506.045994
-0.2601,438,15437.642798
-0.27295,438,24620.037581
-0.28555,457,31910.909422
-0.2678,451,41284.332996
-0.2696,442,48445.100212
-0.28315,454,55696.370582
-0.2707,438,62674.624646
-0.28695,448,71955.124315
-0.2785,455,79221.145696
-0.27105,432,88231.766764
-0.2645,435,95186.611916
-0.27505,433,104228.535276
-0.26475,441,111255.846961
-0.2909,455,118491.217344
-0.29155,469,128155.908857
-0.2821,459,135594.984175
-0.2846,461,145192.265157
-0.28115,448,152409.380461
-0.2753,451,161826.771912
-0.26645,434,168717.258727
-0.27825,446,177971.412763
