#{"t_start": 1768147463.0543568, "env_id": "None"}
r,l,t
-2.0,1,247.686101
-2.0073,4,378.111028
-2.0162,10,596.924556
-2.00385,2,648.459551
-2.0037,5,761.282611
-2.0057,3,840.414663
-2.0269,11,1065.481271
-2.00445,3,1142.304447
-2.00305,2,1201.201246
-2.0085,3,1279.766704
-2.0093,3,1342.003646
-2.00405,2,1385.908048
-2.01035,4,1474.440023
-2.013,5,1565.27415
-0.2855,457,8801.907821
-0.2857,453,15978.448869
-0.28305,456,25456.106469
-0.2777,439,32449.941713
-0.2698,456,41902.056854
-0.2857,466,49466.639436
-0.2809,463,56851.698757
-0.2695,456,64111.479322
-0.28655,460,73594.757715
-0.2695,444,80658.981469
-0.2918,451,89991.597744
-0.2664,431,96879.57094
-0.29045,459,106341.143701
-0.2861,479,113957.246424
-0.3064,484,123825.041973
-0.29365,458,131214.270208
-0.29545,456,138556.797497
-0.2757,457,148101.332473
-0.2665,452,155388.289881
-0.27885,470,165053.888524
-0.284,453,172221.030623
-0.2703,436,181354.884065
