#{"t_start": 1768147463.0563595, "env_id": "None"}
r,l,t
-1.9504,3,331.606939
-2.0033,4,419.460256
-2.00365,4,508.099087
-2.0201,7,673.787633
-2.0045,4,770.099733
-2.0073,3,849.422449
-2.0421,12,1096.095959
-2.00405,2,1150.793372
-2.00425,2,1209.880756
-2.00225,2,1248.984568
-2.01865,6,1394.682229
-0.26405,447,8488.505737
-0.28235,441,15482.555873
-0.276,450,24854.11782
-0.27015,442,31893.310897
-0.28475,440,41094.867645
-0.28305,469,48703.007077
-0.2807,445,55805.354569
-0.2785,444,62876.732494
-0.2705,441,72050.454565
-0.27475,449,79203.176188
-0.2879,452,88553.030367
-0.261,422,95294.535105
-0.28625,453,104652.186844
-0.2805,449,111809.44681
-0.279,435,118726.440928
-0.2888,451,128090.388143
-0.28445,458,135513.477968
-0.2633,449,144916.755885
-0.26885,455,152246.59914
-0.2712,440,161491.881512
-0.2799,451,168652.077335
-0.28005,457,178096.613706
