#{"t_start": 1768147463.059954, "env_id": "None"}
r,l,t
-2.0,1,269.950423
-2.0027,3,359.522733
-2.00415,4,451.693882
-2.0053,5,562.392499
-2.0041,3,629.80824
-2.00855,4,725.328216
-2.00595,4,826.82299
-2.01025,8,992.772676
-2.0041,3,1052.601205
-2.00225,5,1187.445215
-2.00495,5,1312.364624
-2.02695,15,1610.583032
-0.3111,507,9645.02989
-0.2824,464,19230.67409
-0.3031,463,26587.363121
-0.3207,546,35261.790368
-0.3215,501,45443.938704
-0.2914,495,53464.126994
-0.2971,480,61111.585598
-0.2942,483,70943.590994
-0.28545,483,78643.286889
-0.29015,480,88440.225199
-0.305,470,95956.394812
-0.3025,484,105819.527403
-0.29635,459,113123.971245
-0.29685,466,122673.695903
-0.30095,461,130112.325305
-0.2999,490,138012.468399
-0.31265,489,148069.820483
-0.31555,466,155600.259709
-0.3006,512,165921.218884
-0.2956,492,173718.865241
-0.2797,465,183294.480328
