#{"t_start": 1767630344.0673063, "env_id": "None"}
r,l,t
-2.0,1,96.298048
-2.00795,5,136.287512
-2.0122,6,176.388036
-2.00795,4,204.144701
-2.00675,4,230.314357
-2.017,6,276.619843
-0.28945,474,2709.085969
-0.3026,499,5274.64869
-0.287,447,7536.453582
-0.2768,445,9787.361533
-0.2723,450,12149.616566
-0.27375,443,14415.34692
-0.27995,456,16747.439317
-0.2725,440,19027.387684
-0.27605,451,21377.338565
-0.27745,446,23705.415195
-0.2864,454,26072.345589
-0.28965,452,28419.426037
-0.30855,468,30832.009131
-0.2869,462,33206.0851
-0.29,460,35581.78286
-0.28085,448,37904.024009
-0.27425,457,40226.386691
-0.2908,463,42591.39796
-0.2739,442,44829.325674
-0.28425,469,47220.513914
-0.2821,440,49455.624393
-0.28105,434,51658.430297
-0.2734,443,53894.175272
-0.2694,434,56122.744581
-0.27925,455,58437.618729
-0.2734,447,60721.637794
-0.27935,442,62984.479491
-0.29645,453,65278.839544
-0.2678,445,67530.004723
-0.2638,432,69725.196468
-0.29405,483,72189.754063
-0.2941,463,74526.542304
-0.28405,469,76885.592496
-0.27385,438,79106.084017
-0.29665,477,81516.729668
-0.2952,442,83766.130965
-0.27785,441,86002.782445
-0.27995,442,88225.534736
-0.27135,438,90438.014969
-0.2851,446,92691.088501
-0.29985,460,95022.627991
-0.27265,439,97229.118139
-0.26715,455,99511.481663
-0.2786,450,101773.024441
-0.28535,447,104032.274642
-0.27005,430,106204.643619
-0.29355,457,108533.953984
-0.2648,431,110738.624722
