#{"t_start": 1769913444.6572013, "env_id": "None"}
r,l,t
-1.40225,4,112.0147
-2.0058,5,145.639814
-2.00245,2,162.487712
-2.0017,3,182.943496
-2.00205,4,217.278207
-2.0041,4,244.395081
-2.00105,3,271.257101
-2.00285,2,286.046273
-2.0013,3,306.58614
-2.01575,11,392.547386
-2.00225,3,417.221715
-2.0036,6,463.911251
-2.00845,9,530.109658
-2.00085,2,548.076778
-2.00125,2,560.854049
-2.00735,5,596.373538
-2.0176,18,724.966966
-2.00125,2,743.745368
-2.00245,2,760.600493
-2.00205,4,794.024223
-2.0021,3,818.601378
-2.0025,3,840.993579
-2.00145,2,855.463313
-2.01085,10,930.83867
-2.00145,2,947.459131
-2.00245,3,965.605347
-2.0033,4,994.844869
-2.0058,6,1041.375986
-2.0073,8,1104.540106
-2.00595,4,1131.777753
-2.01855,8,1186.232028
-2.00145,2,1202.952776
-2.00245,2,1217.689031
-2.0074,5,1252.517471
-2.00735,4,1277.719274
-2.0245,14,1375.969443
-2.00795,8,1438.747297
-2.0066,6,1480.504089
-2.00675,4,1514.105416
-2.00285,2,1531.286355
-2.0098,5,1568.422465
-2.00245,2,1587.444526
-2.01155,8,1640.472394
-2.00555,4,1675.779479
-2.0037,4,1709.107031
-2.00165,2,1723.530229
-2.01025,6,1766.206565
-2.01845,10,1837.432389
-2.00125,5,1873.88204
-2.0205,12,1959.231978
-2.00305,2,1980.461576
-2.0029,4,2011.643739
-2.00225,2,2028.076488
-2.00245,4,2057.488373
-2.0033,3,2083.900222
-2.00185,3,2105.974033
-2.00765,10,2177.350275
-2.00675,4,2208.615966
-2.02025,11,2288.201802
-2.00875,9,2354.562019
-2.00165,2,2369.312615
-2.00205,2,2387.873494
-2.00315,4,2419.455045
-2.00265,3,2441.768592
-2.00555,4,2473.598482
-2.0025,5,2513.179458
-2.0049,4,2547.165204
-2.00725,7,2599.073561
-2.00205,2,2613.888606
-2.0049,5,2654.554984
-2.00655,4,2689.641347
-2.00525,7,2743.636854
-2.00495,5,2782.573523
-2.00205,2,2797.456101
-2.0041,3,2824.438233
-2.00245,2,2841.137954
-2.00245,5,2878.254489
-2.00125,3,2900.316535
-2.00495,8,2953.298055
-2.00165,3,2975.216417
-2.0053,3,2999.975608
-2.00125,2,3016.528907
-2.0066,5,3053.521066
-2.00125,2,3070.418635
-2.00245,2,3086.94652
-2.018,9,3149.187206
-2.0021,4,3186.894619
-2.00205,2,3203.913166
-2.01025,6,3241.771797
-2.00675,4,3275.289902
-2.0013,4,3305.002695
-2.0082,5,3343.396214
-2.00825,6,3390.133936
-2.00125,2,3406.727693
-2.00925,7,3460.191051
-2.0021,3,3484.193108
-2.0185,11,3568.222308
-2.00315,4,3602.094666
-2.00125,2,3618.830514
-2.00085,2,3635.893688
-2.00165,2,3653.118764
-2.0045,3,3675.277217
-2.00735,4,3705.059077
-2.0033,3,3727.193497
-2.0117,7,3781.936093
-2.0082,5,3818.924753
-2.0029,3,3844.993815
-2.0053,5,3892.256385
-2.0135,9,3954.623386
-2.00435,4,3985.318545
-2.00285,2,4001.961013
-2.00265,3,4024.359584
-2.00795,5,4067.654746
-2.005,5,4104.806022
-2.0041,3,4128.730122
-2.00105,7,4178.649603
-2.00165,3,4198.947941
-2.00735,4,4228.508123
-2.00105,3,4252.493788
-2.0082,5,4291.241839
-2.00145,2,4308.173638
-2.01155,10,4388.206387
-2.00185,2,4402.581223
-2.01155,9,4473.109274
-2.0148,9,4536.834208
