#{"t_start": 1767630344.062818, "env_id": "None"}
r,l,t
-2.0,1,90.59644
-2.0037,3,116.523623
-2.0384,9,182.743834
-2.0171,7,226.320222
-2.00205,2,244.048473
-2.0122,7,291.186962
-2.0082,5,321.670428
-0.2652,439,2552.620701
-0.28565,463,4944.284398
-0.27635,456,7251.612806
-0.2846,463,9588.762476
-0.2598,451,11953.132791
-0.2714,442,14220.552191
-0.29895,448,16507.40782
-0.29465,452,18855.3994
-0.28545,454,21212.740891
-0.2646,454,23585.343153
-0.2768,445,25908.941975
-0.28075,442,28212.574467
-0.27775,438,30465.15955
-0.2865,460,32834.462906
-0.2795,446,35128.471216
-0.27865,447,37448.848188
-0.2734,444,39715.431866
-0.2766,443,41970.266302
-0.2651,426,44133.887257
-0.2677,432,46331.496285
-0.2627,428,48505.918602
-0.26725,426,50675.04951
-0.26755,432,52854.731683
-0.28275,441,55098.411173
-0.2787,445,57374.553614
-0.28065,453,59683.190114
-0.28245,438,61937.540684
-0.26835,431,64126.114211
-0.27365,432,66301.26699
-0.2732,432,68508.115162
-0.27435,432,70693.405065
-0.2774,439,72931.784052
-0.274,440,75148.907406
-0.27925,453,77428.544966
-0.2741,425,79593.720923
-0.26825,439,81810.886941
-0.2657,432,84015.134107
-0.27575,437,86228.055066
-0.2618,414,88307.933956
-0.26395,431,90485.989265
-0.26725,441,92713.319353
-0.26905,443,94952.505886
-0.27845,450,97212.188117
-0.26115,439,99411.037306
-0.26355,445,101652.000716
-0.27075,442,103885.711168
-0.2876,458,106198.519215
-0.28005,452,108502.553874
-0.31465,483,110982.180549
