#{"t_start": 1769913444.6606183, "env_id": "None"}
r,l,t
-2.0,1,89.074059
-2.00825,6,134.497932
-2.00245,2,151.857465
-2.01575,8,212.018191
-2.00185,2,226.557239
-2.0041,3,248.53756
-2.00165,2,265.687351
-2.00625,6,310.902771
-2.00695,5,347.39973
-2.00125,2,362.785966
-2.00205,2,379.412294
-2.00675,4,411.779198
-2.00065,2,428.816807
-2.00105,3,450.053129
-2.00255,4,484.544304
-2.00645,6,524.492678
-2.00165,2,542.910989
-2.0231,15,648.00106
-2.00165,2,661.177255
-2.00195,4,690.566599
-2.00205,2,705.045317
-2.0041,3,729.017928
-2.0045,3,755.503161
-2.00205,2,772.102243
-2.00105,2,788.936367
-2.00185,2,806.128516
-2.00205,2,822.890384
-2.0186,9,886.82255
-2.0066,5,923.753932
-2.0123,8,984.208417
-2.00165,2,999.050016
-2.0157,11,1080.845851
-2.00245,2,1099.302909
-2.00145,2,1113.975012
-2.00185,2,1126.588345
-2.0042,5,1158.98694
-2.0037,3,1181.227952
-2.0029,3,1207.279592
-2.0041,3,1229.762603
-2.00495,4,1256.756532
-2.0295,15,1356.1791
-2.0021,3,1380.122615
-2.0042,5,1416.323781
-2.00145,2,1433.565135
-2.00105,4,1465.081566
-2.00555,4,1492.080401
-2.00065,2,1507.011149
-2.00125,2,1526.028835
-2.00425,6,1572.511187
-2.00875,11,1654.09118
-2.00205,2,1670.67666
-2.0045,3,1694.797697
-2.0124,9,1760.531877
-2.0066,5,1795.5101
-2.00205,2,1809.996375
-2.00225,3,1830.291718
-2.0033,4,1863.522036
-2.00125,2,1880.317973
-2.00165,2,1894.750082
-2.01125,6,1934.141658
-2.0021,3,1953.896695
-2.00105,2,1970.911972
-2.00125,2,1989.7386
-2.0068,9,2063.938207
-2.00105,2,2076.688976
-2.0051,8,2135.196428
-2.00495,4,2164.69097
-2.0044,5,2203.427285
-2.01,9,2265.535917
-2.00135,6,2312.560828
-2.00625,6,2358.740226
-2.00145,2,2373.539893
-2.0045,5,2414.269032
-2.00165,3,2436.673423
-2.00205,3,2460.601937
-2.00125,2,2477.820915
-2.00185,2,2495.288565
-2.00725,6,2541.55967
-2.0058,6,2586.131195
-2.0036,5,2627.408551
-2.00205,2,2642.187959
-2.00225,2,2658.784641
-2.0074,5,2701.624324
-2.00165,2,2718.411361
-2.00245,3,2738.208331
-2.00185,2,2757.636762
