#{"t_start": 1767630344.0690215, "env_id": "None"}
r,l,t
-2.0,1,99.908562
-2.00675,4,129.55273
-2.0123,7,179.071428
-2.0083,8,233.14961
-2.00675,4,263.51667
-2.01125,6,302.831702
-0.2714,449,2598.933659
-0.27495,456,4937.912447
-0.28885,464,7293.911767
-0.28785,467,9651.717845
-0.26335,440,11960.433707
-0.2692,445,14242.687011
-0.29255,458,16580.612242
-0.30855,473,19042.602617
-0.26895,447,21359.33131
-0.2717,435,23634.207934
-0.26115,422,25828.692966
-0.2717,445,28150.709501
-0.2669,428,30350.230118
-0.2611,438,32610.847997
-0.29645,464,34994.125565
-0.2813,440,37278.06017
-0.2911,461,39633.299414
-0.28245,440,41872.569506
-0.26795,451,44170.998283
-0.2665,445,46435.364526
-0.293,457,48761.464776
-0.27765,452,51061.577433
-0.26275,424,53198.492919
-0.28165,444,55461.372179
-0.27875,446,57737.412402
-0.27185,440,59978.86815
-0.29415,459,62335.999979
-0.2957,462,64679.637274
-0.28445,446,66929.427962
-0.27315,443,69189.386429
-0.27875,457,71510.85186
-0.27855,461,73853.408556
-0.3103,455,76142.432646
-0.28835,456,78440.736773
-0.2905,457,80755.0792
-0.27295,466,83123.023037
-0.2739,429,85311.48699
-0.27175,438,87514.0923
-0.268,433,89700.534829
-0.2671,433,91890.997377
-0.2701,434,94076.801687
-0.28455,445,96323.334672
-0.27905,447,98569.663512
-0.2688,429,100725.370405
-0.28765,447,102975.574883
-0.27325,439,105200.871268
-0.27095,442,107436.224552
-0.2716,437,109671.791534
-0.28675,458,112014.234467
